,frame_len,frame_protocols,eth_src,eth_dst,ip_src,ip_dst,ip_len,ip_flags,tcp_srcport,tcp_dstport,tcp_len,tcp_flags,tcp_retransmission,tcp_rtt,flow_count,flow_final_count,packets,snort_alert,snort_alert_type,Time,LL_dnp3_src,LL_dnp3_dst,LL_dnp3_len,LL_dnp3_ctl,TL_dnp3_tr_ctl,AL_dnp3_al_func,AL_dnp3_al_ctl,AL_dnp3_obj,DNP3 Object Count,DNP3 Objects,AL_Payload,value1,value2,value3
0,208,1,2,0,2,1,5,1,1,3,4,1,0,-1,0,0,0,0,1,2020-10-17 17:13:15.082143068,5,0,3,0,0,129,15,2,36,511,257,,,
1,206,1,2,0,2,1,4,1,1,4,3,1,0,-1,0,0,0,0,1,2020-10-17 17:13:15.179106951,8,0,2,0,0,129,14,1,33,0,218,,,
2,286,1,2,0,2,1,9,1,1,2,9,1,0,-1,0,0,0,0,1,2020-10-17 17:13:15.191107035,7,0,7,0,0,129,1,1,55,2,87,,84.7048,
3,72,1,0,2,1,2,11,1,2,1,6,1,0,0.100445000,0,0,0,0,1,2020-10-17 17:13:15.343518019,7,0,7,0,0,129,2,1,55,2,88,,84.6354,
4,286,1,2,0,2,1,9,1,1,2,9,1,0,0.051966000,0,0,0,0,1,2020-10-17 17:13:17.449409962,6,0,4,0,0,129,6,1,38,1,254,,84.6354,
5,72,1,0,2,1,2,11,1,8,1,6,1,0,-1,6,1,18,0,1,2020-10-17 17:13:17.591460943,1,0,8,0,0,129,11,1,58,1,103,,84.6354,
6,225,1,2,0,2,1,6,1,1,8,5,1,0,0.052003000,0,0,0,0,1,2020-10-17 17:13:18.855782986,9,0,5,0,0,129,11,1,42,1,23,,84.6354,1350.53
7,72,1,0,2,1,2,11,1,11,1,6,1,0,-1,0,0,0,0,1,2020-10-17 17:13:19.187681913,2,0,1,0,0,129,2,2,32,255,203,-47.9901,84.6354,1350.53
8,293,1,2,0,2,1,10,1,1,11,10,1,0,0.051995000,0,0,0,0,1,2020-10-17 17:13:19.263794899,8,0,2,0,0,129,15,1,33,0,219,-47.9901,84.6354,1350.53
9,72,1,0,2,1,2,11,1,6,1,6,1,0,-1,6,1,18,0,1,2020-10-17 17:13:19.636996031,5,0,3,0,0,129,0,2,36,511,256,-47.9901,84.6354,1350.53
10,239,1,2,0,2,1,7,1,1,6,7,1,0,0.051196000,0,0,0,0,1,2020-10-17 17:13:20.007153034,3,0,11,0,0,129,1,2,16,15,149,-47.9901,84.6354,1350.53
