,frame_len,frame_protocols,eth_src,eth_dst,ip_src,ip_dst,ip_len,ip_flags,tcp_srcport,tcp_dstport,tcp_len,tcp_flags,tcp_retransmission,tcp_rtt,flow_count,flow_final_count,packets,snort_alert,snort_alert_type,Time,LL_dnp3_src,LL_dnp3_dst,LL_dnp3_len,LL_dnp3_ctl,TL_dnp3_tr_ctl,AL_dnp3_al_func,AL_dnp3_al_ctl,AL_dnp3_obj,DNP3 Object Count,DNP3 Objects,AL_Payload,value1,value2,value3,value4,value5
0,72,1,1,0,1,2,11,1,2,1,6,1,0,-1,0,0,0,0,1,2020-10-17 16:23:40.414860725,7,0,7,0,0,129,6,1,55,2,83,,,79.8731,,
1,286,1,0,1,2,1,9,1,1,2,9,1,0,0.151232695,0,0,0,0,1,2020-10-17 16:23:47.621923923,9,0,5,0,0,129,0,1,42,1,19,,,79.8731,,1236.1
2,72,1,1,0,1,2,11,1,6,1,6,1,0,-1,30,5,84,0,1,2020-10-17 16:23:48.057896137,8,0,2,0,0,129,4,1,33,0,196,,,79.8731,1005.24,1236.1
3,239,1,0,1,2,1,7,1,1,6,7,1,0,0.151164652,0,0,0,0,1,2020-10-17 16:23:48.745896816,5,0,3,0,0,129,13,2,36,511,293,,,79.8731,1005.24,1236.1
4,72,1,1,0,1,2,11,1,4,1,6,1,0,-1,0,0,0,0,1,2020-10-17 16:23:52.709904671,6,0,4,0,0,129,1,1,38,1,262,,1211.67,79.8731,1005.24,1236.1
5,206,1,0,1,2,1,4,1,1,4,3,1,0,0.151240190,0,0,0,0,1,2020-10-17 16:23:52.757966518,1,0,8,0,0,129,9,1,58,1,111,,1211.67,79.8731,1005.24,1236.1
6,72,1,1,0,1,2,11,1,3,1,6,1,0,-1,0,0,0,0,1,2020-10-17 16:23:55.753044367,2,0,1,0,0,129,0,2,32,255,222,-56.2571,1211.67,79.8731,1005.24,1236.1
7,208,1,0,1,2,1,5,1,1,3,4,1,0,0.151211008,0,0,0,0,1,2020-10-17 16:23:56.021046877,3,0,11,0,0,129,15,2,16,15,137,-56.2571,1211.67,79.8731,1005.24,1236.1
8,72,1,1,0,1,2,11,1,8,1,6,1,0,-1,11,2,33,1,2,2020-10-17 16:23:57.627161026,0,0,6,0,0,129,9,1,46,1,51,-56.2571,1211.67,79.8731,1005.24,1236.1
9,72,1,1,0,1,2,11,1,11,1,6,1,0,-1,0,0,0,0,1,2020-10-17 16:23:58.941100836,4,0,0,0,0,129,14,2,28,127,174,-56.2571,1211.67,79.8731,1005.24,1236.1
