,frame_len,frame_protocols,eth_src,eth_dst,ip_src,ip_dst,ip_len,ip_flags,tcp_srcport,tcp_dstport,tcp_len,tcp_flags,tcp_retransmission,tcp_rtt,flow_count,flow_final_count,packets,snort_alert,snort_alert_type,Time,LL_dnp3_src,LL_dnp3_dst,LL_dnp3_len,LL_dnp3_ctl,TL_dnp3_tr_ctl,AL_dnp3_al_func,AL_dnp3_al_ctl,AL_dnp3_obj,DNP3 Object Count,DNP3 Objects,AL_Payload,value1,value2,value3
0,42,0,3,4,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 17:13:47.272149086,6,0,4,0,0,129,7,1,38,1,253,,,
1,42,0,3,4,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 17:13:47.414159060,1,0,8,0,0,129,12,1,58,1,99,,,
2,42,0,3,4,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 17:13:48.677107096,9,0,5,0,0,129,12,1,42,1,23,,,1350.55
3,72,1,0,3,1,2,11,1,8,1,6,1,0,-1,22,4,66,0,1,2020-10-17 17:13:49.010040998,2,0,1,0,0,129,3,2,32,255,202,-56.2587,,1350.55
4,225,1,3,0,2,1,6,1,1,8,5,1,0,0.001755000,0,0,0,0,1,2020-10-17 17:13:49.086103916,8,0,2,0,0,129,0,1,33,0,191,-56.2587,,1350.55
5,72,1,0,3,1,2,11,1,11,1,6,1,0,-1,0,0,0,0,1,2020-10-17 17:13:49.460087061,5,0,3,0,0,129,1,2,36,511,263,-56.2587,,1350.55
6,293,1,3,0,2,1,10,1,1,11,10,1,0,0.002012000,0,0,0,0,1,2020-10-17 17:13:49.830041885,3,0,11,0,0,129,2,2,16,15,142,-56.2587,,1350.55
7,72,1,0,3,1,2,11,1,6,1,6,1,0,-1,6,1,18,0,1,2020-10-17 17:13:50.618083000,6,0,9,0,0,129,8,0,1,1200,1,-56.2587,,1350.55
8,239,1,3,0,2,1,7,1,1,6,7,1,0,0.000762000,0,0,0,0,1,2020-10-17 17:13:51.217134953,0,0,6,0,0,129,12,1,46,1,42,-56.2587,,1350.55
9,72,1,0,3,1,2,11,1,7,1,6,1,0,-1,0,0,0,0,1,2020-10-17 17:13:52.849047899,4,0,0,0,0,129,1,2,28,127,160,-56.2587,,1350.55
10,196,1,3,0,2,1,3,1,1,7,2,1,0,0.001784000,0,0,0,0,1,2020-10-17 17:13:53.753154039,7,0,7,0,0,129,4,1,55,2,88,-56.2587,79.885,1350.55
11,72,1,0,3,1,2,11,1,4,1,6,1,0,-1,0,0,0,0,1,2020-10-17 17:14:04.339107990,8,0,9,0,0,129,1,0,1,999,4,-56.2587,79.885,1350.55
12,206,1,3,0,2,1,4,1,1,4,3,1,0,0.001924000,0,0,0,0,1,2020-10-17 17:14:16.752103090,7,0,9,0,0,129,5,0,1,None,3,-56.2587,79.885,1350.55
13,72,1,0,3,1,2,11,1,3,1,6,1,0,-1,0,0,0,0,1,2020-10-17 17:14:17.425055027,6,0,4,0,0,129,9,1,38,1,252,-56.2587,79.885,1350.55
14,208,1,3,0,2,1,5,1,1,3,4,1,0,0.001801000,0,0,0,0,1,2020-10-17 17:14:17.567143917,1,0,8,0,0,129,13,1,58,1,98,-56.2587,79.885,1350.55
15,72,1,0,3,1,2,11,1,5,1,6,1,0,-1,0,0,0,0,1,2020-10-17 17:14:18.829102993,9,0,5,0,0,129,13,1,42,1,24,-56.2587,79.885,1350.55
16,142,1,3,0,2,1,1,1,1,5,15,1,0,0.001773000,0,0,0,0,1,2020-10-17 17:14:19.163029909,2,0,1,0,0,129,4,2,32,255,204,-56.365,79.885,1350.55
17,81,1,0,3,1,2,12,1,8,1,11,1,0,-1,5,1,15,0,1,2020-10-17 17:14:19.239038944,8,0,2,0,0,129,2,1,33,0,190,-56.365,79.885,1350.55
18,85,1,3,0,2,1,13,1,1,8,12,1,0,0.000604000,0,0,0,1,0,2020-10-17 17:14:19.613085985,5,0,3,0,0,129,2,2,36,511,264,-56.365,79.885,1350.55
