,frame_len,frame_protocols,eth_src,eth_dst,ip_src,ip_dst,ip_len,ip_flags,tcp_srcport,tcp_dstport,tcp_len,tcp_flags,tcp_retransmission,tcp_rtt,flow_count,flow_final_count,packets,snort_alert,snort_alert_type,Time,LL_dnp3_src,LL_dnp3_dst,LL_dnp3_len,LL_dnp3_ctl,TL_dnp3_tr_ctl,AL_dnp3_al_func,AL_dnp3_al_ctl,AL_dnp3_obj,DNP3 Object Count,DNP3 Objects,AL_Payload,value1,value2,value3
0,72,1,0,2,1,2,6,1,4,1,4,1,0,-1,0,0,0,0,1,2020-10-17 19:26:37.218951941,0,0,0,0,0,129,6,2,32,255,37,-56.2576,,
1,196,1,2,0,2,1,1,1,1,4,1,1,0,0.051990000,0,0,0,0,1,2020-10-17 19:26:50.811026096,1,0,2,0,0,129,0,1,38,1,51,-56.2576,1211.67,
2,60,0,2,3,0,0,0,0,0,0,0,0,0,-1,8,2,76,0,1,2020-10-17 19:26:55.481060982,1,0,5,0,0,129,1,0,1,1100,5,-56.2576,1211.67,
3,60,0,2,3,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 19:27:00.886126995,4,0,3,0,0,129,3,1,42,1,10,-56.2576,1211.67,1350.55
4,60,0,2,3,0,0,0,0,0,0,0,0,0,-1,4,1,12,0,1,2020-10-17 19:27:10.883210897,1,0,5,0,0,129,2,0,1,1200,3,-56.2576,1211.67,1350.55
5,72,1,0,2,1,2,6,1,3,1,4,1,0,-1,30,5,90,0,1,2020-10-17 19:27:18.639381886,3,0,5,0,0,129,10,0,1,1000,0,-56.2576,1211.67,1350.55
6,225,1,2,0,2,1,3,1,1,3,3,1,0,0.052179000,0,0,0,0,1,2020-10-17 19:27:22.980320930,2,0,5,0,0,129,7,0,1,78,4,-56.2576,1211.67,1350.55
7,60,0,2,3,0,0,0,0,0,0,0,0,0,-1,5,1,15,0,1,2020-10-17 19:27:27.486388922,3,0,1,0,0,129,11,1,33,8,28,-56.2576,1211.67,1350.55
8,60,0,2,3,0,0,0,0,0,0,0,0,0,-1,5,1,15,0,1,2020-10-17 19:27:29.661427021,4,0,3,0,0,129,4,1,42,1,11,-56.2576,1211.67,1350.55
9,60,0,2,3,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,2020-10-17 19:27:32.889406919,4,0,5,0,0,129,5,0,1,1100,2,-56.2576,1211.67,1350.55
10,81,1,0,2,1,2,7,1,3,1,7,1,0,-1,0,0,0,0,1,2020-10-17 19:27:35.428438902,2,0,4,0,0,129,8,1,55,2,19,-56.2576,1211.67,1350.55
11,85,1,2,0,2,1,8,1,1,3,8,1,0,0.052278000,0,0,0,0,1,2020-10-17 19:27:37.371479988,0,0,0,0,0,129,7,2,32,255,36,-59.2574,1211.67,1350.55
12,60,0,2,0,0,0,0,0,0,0,0,0,0,-1,15,3,45,1,2,2020-10-17 19:27:38.551429987,4,0,5,0,0,129,6,0,1,1300,6,-59.2574,1211.67,1350.55
13,42,0,0,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 19:27:43.000482082,2,0,5,0,0,129,9,0,1,78,7,-59.2574,1211.67,1350.55
14,72,1,0,2,1,2,6,1,5,1,4,1,0,-1,0,0,0,0,1,2020-10-17 19:27:50.962599039,1,0,2,0,0,129,3,1,38,1,50,-59.2574,1205.31,1350.55
15,239,1,2,0,2,1,4,1,1,5,5,1,0,0.052082000,0,0,0,0,1,2020-10-17 19:27:55.321542025,1,0,6,0,0,129,4,3,1,1,53,-59.2574,1205.31,1350.55
16,60,0,2,3,0,0,0,0,0,0,0,0,0,-1,18,4,80,0,1,2020-10-17 19:27:59.331614017,1,0,6,0,0,129,5,3,1,1,52,-59.2574,1205.31,1350.55
17,60,0,2,3,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 19:28:27.724385023,3,0,1,0,0,129,12,1,33,8,29,-59.2574,1205.31,1350.55
