,frame_len,frame_protocols,eth_src,eth_dst,ip_src,ip_dst,ip_len,ip_flags,tcp_srcport,tcp_dstport,tcp_len,tcp_flags,tcp_retransmission,tcp_rtt,flow_count,flow_final_count,packets,snort_alert,snort_alert_type,Time,LL_dnp3_src,LL_dnp3_dst,LL_dnp3_len,LL_dnp3_ctl,TL_dnp3_tr_ctl,AL_dnp3_al_func,AL_dnp3_al_ctl,AL_dnp3_obj,DNP3 Object Count,DNP3 Objects,AL_Payload,value1,value2,value3,value4,value5
0,72,1,1,0,1,2,10,1,5,1,5,1,0,-1,0,0,0,0,1,2020-10-17 18:38:56.544455290,5,0,3,0,0,129,15,1,38,1,90,,1211.68,,,
1,225,1,0,1,2,1,5,1,1,5,4,1,0,0.151727702,0,0,0,0,1,2020-10-17 18:38:57.839556217,3,0,10,0,0,129,10,2,16,15,50,,1211.68,,,
2,72,1,1,0,1,2,10,1,4,1,5,1,0,-1,2,0,32,0,1,2020-10-17 18:38:58.873573303,2,0,0,0,0,129,9,2,32,255,65,-56.2583,1211.68,,,
3,142,1,0,1,2,1,1,1,1,4,14,1,0,0.151794362,0,0,0,0,1,2020-10-17 18:39:04.700546503,7,0,1,0,0,129,3,1,33,0,61,-56.2583,1211.68,,1005.24,
4,72,1,1,0,1,2,10,1,11,1,5,1,0,-1,5,1,15,0,1,2020-10-17 18:39:09.484563112,1,0,7,0,0,129,10,1,58,1,38,-56.2583,1211.68,,1005.24,
5,196,1,0,1,2,1,2,1,1,11,1,1,0,0.151840835,0,0,0,0,1,2020-10-17 18:39:17.249609470,5,0,8,0,0,129,0,0,1,1200,1,-56.2583,1211.68,,1005.24,
6,72,1,1,0,1,2,10,1,6,1,5,1,0,-1,12,3,36,0,1,2020-10-17 18:39:22.793691874,4,0,2,0,0,129,10,2,36,511,94,-56.2583,1211.68,,1005.24,
7,206,1,0,1,2,1,3,1,1,6,2,1,0,0.152792361,0,0,0,0,1,2020-10-17 18:39:23.989655972,8,0,4,0,0,129,4,1,42,1,10,-56.2583,1211.68,,1005.24,1236.11
8,72,1,1,0,1,2,10,1,9,1,5,1,0,-1,8,2,24,0,1,2020-10-17 18:39:28.993703842,5,0,8,0,0,129,1,0,1,1100,4,-56.2583,1211.68,,1005.24,1236.11
9,293,1,0,1,2,1,9,1,1,9,9,1,0,0.152743237,0,0,0,0,1,2020-10-17 18:39:37.010888577,0,0,5,0,0,129,10,1,46,1,18,-56.2583,1211.68,,1005.24,1236.11
