,frame_len,frame_protocols,eth_src,eth_dst,ip_src,ip_dst,ip_len,ip_flags,tcp_srcport,tcp_dstport,tcp_len,tcp_flags,tcp_retransmission,tcp_rtt,flow_count,flow_final_count,packets,snort_alert,snort_alert_type,Time,LL_dnp3_src,LL_dnp3_dst,LL_dnp3_len,LL_dnp3_ctl,TL_dnp3_tr_ctl,AL_dnp3_al_func,AL_dnp3_al_ctl,AL_dnp3_obj,DNP3 Object Count,DNP3 Objects,AL_Payload,value1,value2,value3,value4,value5
0,72,1,1,0,1,2,11,1,8,1,6,1,0,-1,0,0,0,0,1,2020-10-17 17:13:47.660280704,6,0,4,0,0,129,7,1,38,1,239,,1211.68,,,
1,72,1,1,0,1,2,11,1,11,1,6,1,0,-1,0,0,0,0,1,2020-10-17 17:13:47.802459478,1,0,8,0,0,129,12,1,58,1,92,,1211.68,,,
2,225,1,0,1,2,1,6,1,1,8,5,1,0,0.152538297,0,0,0,0,1,2020-10-17 17:13:49.065300226,9,0,5,0,0,129,12,1,42,1,19,,1211.68,,,1236.1
3,293,1,0,1,2,1,10,1,1,11,10,1,0,0.152891333,0,0,0,0,1,2020-10-17 17:13:49.398152590,2,0,1,0,0,129,3,2,32,255,191,-56.2587,1211.68,,,1236.1
4,72,1,1,0,1,2,11,1,6,1,6,1,0,-1,6,1,18,0,1,2020-10-17 17:13:49.474211693,8,0,2,0,0,129,0,1,33,0,181,-56.2587,1211.68,,1005.24,1236.1
5,239,1,0,1,2,1,7,1,1,6,7,1,0,0.151572021,0,0,0,0,1,2020-10-17 17:13:49.848298311,5,0,3,0,0,129,1,2,36,511,248,-56.2587,1211.68,,1005.24,1236.1
6,72,1,1,0,1,2,11,1,7,1,6,1,0,-1,0,0,0,0,1,2020-10-17 17:13:50.218244314,3,0,11,0,0,129,2,2,16,15,133,-56.2587,1211.68,,1005.24,1236.1
7,72,1,1,0,1,2,11,1,4,1,6,1,0,-1,0,0,0,0,1,2020-10-17 17:13:51.006249666,6,0,9,0,0,129,8,0,1,1200,1,-56.2587,1211.68,,1005.24,1236.1
8,196,1,0,1,2,1,3,1,1,7,2,1,0,0.152483726,0,0,0,0,1,2020-10-17 17:13:51.605303526,0,0,6,0,0,129,12,1,46,1,38,-56.2587,1211.68,,1005.24,1236.1
9,206,1,0,1,2,1,4,1,1,4,3,1,0,0.152557234,0,0,0,0,1,2020-10-17 17:13:53.237227678,4,0,0,0,0,129,1,2,28,127,150,-56.2587,1211.68,,1005.24,1236.1
10,72,1,1,0,1,2,11,1,3,1,6,1,0,-1,0,0,0,0,1,2020-10-17 17:13:54.141372204,7,0,7,0,0,129,4,1,55,2,81,-56.2587,1211.68,79.8858,1005.24,1236.1
11,208,1,0,1,2,1,5,1,1,3,4,1,0,0.152564241,0,0,0,0,1,2020-10-17 17:14:04.727386475,8,0,9,0,0,129,1,0,1,999,3,-56.2587,1211.68,79.8858,1005.24,1236.1
12,72,1,1,0,1,2,11,1,5,1,6,1,0,-1,5,1,15,0,1,2020-10-17 17:14:17.140497923,7,0,9,0,0,129,5,0,1,None,2,-56.2587,1211.68,79.8858,1005.24,1236.1
13,142,1,0,1,2,1,1,1,1,5,15,1,0,0.152563180,0,0,0,0,1,2020-10-17 17:14:17.813464642,6,0,4,0,0,129,9,1,38,1,238,-56.2587,1202.87,79.8858,1005.24,1236.1
14,81,1,1,0,1,2,12,1,8,1,11,1,0,3.194622513,0,0,0,1,0,2020-10-17 17:14:17.955621243,1,0,8,0,0,129,13,1,58,1,91,-56.2587,1202.87,79.8858,1005.24,1236.1
15,85,1,0,1,2,1,13,1,1,8,12,1,0,0.151346386,0,0,0,0,1,2020-10-17 17:14:19.217537403,9,0,5,0,0,129,13,1,42,1,20,-56.2587,1202.87,79.8858,1005.24,1236.1
16,72,1,1,0,1,2,11,1,10,1,6,1,0,-1,0,0,0,0,1,2020-10-17 17:14:19.551484823,2,0,1,0,0,129,4,2,32,255,192,-56.365,1202.87,79.8858,1005.24,1236.1
17,253,1,0,1,2,1,8,1,1,10,8,1,0,0.151596232,0,0,0,1,2,2020-10-17 17:14:19.627534151,8,0,2,0,0,129,2,1,33,0,180,-56.365,1202.87,79.8858,1000.22,1236.1
18,60,0,0,1,0,0,0,0,0,0,0,0,0,-1,5,1,15,0,1,2020-10-17 17:14:20.001537800,5,0,3,0,0,129,2,2,36,511,249,-56.365,1202.87,79.8858,1000.22,1236.1
19,42,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2020-10-17 17:14:20.370476246,3,0,11,0,0,129,3,2,16,15,132,-56.365,1202.87,79.8858,1000.22,1236.1
20,72,1,1,0,1,2,11,1,9,1,6,1,0,-1,0,0,0,0,1,2020-10-17 17:14:21.757520437,0,0,6,0,0,129,13,1,46,1,39,-56.365,1202.87,79.8858,1000.22,1236.1
21,182,1,0,1,2,1,2,1,1,9,1,1,0,0.151451141,0,0,0,0,1,2020-10-17 17:14:23.390407801,4,0,0,0,0,129,2,2,28,127,151,-56.365,1202.87,79.8858,1000.22,1236.1
22,72,1,1,0,1,2,11,1,2,1,6,1,0,-1,0,0,0,0,1,2020-10-17 17:14:24.294603348,7,0,7,0,0,129,6,1,55,2,80,-56.365,1202.87,79.6403,1000.22,1236.1
23,286,1,0,1,2,1,9,1,1,2,9,1,0,0.152653689,5,1,15,1,2,2020-10-17 17:14:26.999654770,7,0,9,0,0,129,7,0,1,82,6,-56.365,1202.87,79.6403,1000.22,1236.1
24,60,0,2,2,0,0,0,0,0,0,0,0,0,-1,23,5,69,1,2,2020-10-17 17:14:34.030653000,9,0,9,0,0,129,14,0,1,1000,0,-56.365,1202.87,79.6403,1000.22,1236.1
