,frame_len,frame_protocols,eth_src,eth_dst,ip_src,ip_dst,ip_len,ip_flags,tcp_srcport,tcp_dstport,tcp_len,tcp_flags,tcp_retransmission,tcp_rtt,flow_count,flow_final_count,packets,snort_alert,snort_alert_type,Time,LL_dnp3_src,LL_dnp3_dst,LL_dnp3_len,LL_dnp3_ctl,TL_dnp3_tr_ctl,AL_dnp3_al_func,AL_dnp3_al_ctl,AL_dnp3_obj,DNP3 Object Count,DNP3 Objects,AL_Payload,value1,value2,value3,value4,value5
0,72,1,1,0,1,2,11,1,10,1,6,1,0,-1,0,0,0,0,1,2020-10-17 16:09:22.503392696,0,0,6,0,0,129,12,1,46,1,54,,,,,
1,253,1,0,1,2,1,8,1,1,10,8,1,0,0.152659640,0,0,0,0,1,2020-10-17 16:09:23.661561251,4,0,0,0,0,129,1,2,28,127,145,,,,,
2,72,1,1,0,1,2,11,1,9,1,6,1,0,-1,0,0,0,0,1,2020-10-17 16:09:42.191790342,9,0,5,0,0,129,12,1,42,1,22,,,,,1236.1
3,182,1,0,1,2,1,2,1,1,9,1,1,0,0.151722036,0,0,0,1,2,2020-10-17 16:09:42.519672394,8,0,2,0,0,129,4,1,33,0,161,,,,1005.25,1236.1
4,72,1,1,0,1,2,11,1,6,1,6,1,0,-1,47,10,140,0,1,2020-10-17 16:09:42.567670107,7,0,7,0,0,129,4,1,55,2,76,,,79.8714,1005.25,1236.1
5,239,1,0,1,2,1,7,1,1,6,7,1,0,0.153092334,0,0,0,0,1,2020-10-17 16:09:43.151670218,5,0,3,0,0,129,1,2,36,511,217,,,79.8714,1005.25,1236.1
6,72,1,1,0,1,2,11,1,4,1,6,1,0,-1,0,0,0,0,1,2020-10-17 16:09:46.998780966,6,0,4,0,0,129,12,1,38,1,208,,1211.66,79.8714,1005.25,1236.1
7,72,1,1,0,1,2,11,1,2,1,6,1,0,-1,0,0,0,0,1,2020-10-17 16:09:47.038735867,1,0,8,0,0,129,13,1,58,1,89,,1211.66,79.8714,1005.25,1236.1
8,206,1,0,1,2,1,4,1,1,4,3,1,0,0.151003789,0,0,0,0,1,2020-10-17 16:09:50.415697575,2,0,1,0,0,129,4,2,32,255,174,-56.2611,1211.66,79.8714,1005.25,1236.1
9,286,1,0,1,2,1,9,1,1,2,9,1,0,0.151064442,0,0,0,0,1,2020-10-17 16:09:50.615775347,3,0,11,0,0,129,3,2,16,15,115,-56.2611,1211.66,79.8714,1005.25,1236.1
10,72,1,1,0,1,2,11,1,3,1,6,1,0,-1,0,0,0,0,1,2020-10-17 16:09:52.655818701,0,0,6,0,0,129,13,1,46,1,39,-56.2611,1211.66,79.8714,1005.25,1236.1
11,208,1,0,1,2,1,5,1,1,3,4,1,0,0.151051328,0,0,0,0,1,2020-10-17 16:09:53.815870285,4,0,0,0,0,129,2,2,28,127,133,-56.2611,1211.66,79.8714,1005.25,1236.1
12,72,1,1,0,1,2,11,1,8,1,6,1,0,-1,12,2,36,0,1,2020-10-17 16:10:12.344883442,9,0,5,0,0,129,13,1,42,1,25,-56.2611,1211.66,79.8714,1005.25,1236.1
